threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.01,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.02,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.03,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.04,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.05,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.06,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.07,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.08,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.09,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.1,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.11,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.12,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.13,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.14,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.15,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.16,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.17,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.18,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.19,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.2,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.21,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.22,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.23,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.24,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.25,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.26,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.27,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.28,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.29,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
0.3,1.0,0.0,0.473,0.22838711193203926,287.1084359380207,-83.48817789177745,0.47,llama2-13b,8bit,gptq,pubmedqa
