threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.01,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.02,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.03,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.04,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.05,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.06,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.07,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.08,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.09,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.1,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.11,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.12,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.13,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.14,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.15,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.16,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.17,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.18,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.19,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.2,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.21,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
