threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.005025125628140704,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.010050251256281407,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.01507537688442211,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.020100502512562814,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.02512562814070352,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.03015075376884422,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.035175879396984924,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.04020100502512563,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.04522613065326633,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.05025125628140704,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.05527638190954774,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.06030150753768844,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
